date,n_dev,n_succ,n_rounds,prop_data_eav,n_class_eav,class_dist_eav,greedy,eaves_acc,smart_eaves_accuracy,learner_acc
2023-07-19_16:35:47,20,30,100,0.1,8,0.99,True,0.9295454545454546, 0.9045454545454545,
2023-07-19_16:37:47,20,30,100,0.1,8,0.99,False,0.9318181818181818, 0.8227272727272728,
2023-07-19_16:39:34,20,30,100,0.1,8,0.99,True,0.9363636363636364, 0.8886363636363637,
2023-07-19_16:41:31,20,30,100,0.1,8,0.99,False,0.9522727272727273, 0.8954545454545455,
2023-07-19_16:43:08,20,30,100,0.1,8,0.99,True,0.9340909090909091, 0,
2023-07-19_16:44:58,20,30,100,0.1,8,0.99,False,0.925, 0.8909090909090909,
2023-07-19_16:46:38,20,30,100,0.1,8,0.99,True,0.9204545454545454, 0.8977272727272727,
2023-07-19_16:48:32,20,30,100,0.1,8,0.9,False,0.9045454545454545, 0.9,
2023-07-19_16:50:18,20,30,100,0.1,8,0.9,True,0.9227272727272727, 0,
2023-07-19_16:52:06,20,30,100,0.1,8,0.9,False,0.9363636363636364, 0.9318181818181818,
2023-07-19_16:53:50,20,30,100,0.1,8,0.9,True,0.9159090909090909, 0.9522727272727273,
2023-07-19_16:55:36,20,30,100,0.1,8,0.9,False,0.884090909090909, 0.8886363636363637,
2023-07-19_16:57:21,20,30,100,0.1,8,0.9,True,0.925, 0.9,
2023-07-19_16:59:13,20,30,100,0.1,8,0.9,False,0.9181818181818182, 0.9090909090909091,
2023-07-19_17:00:51,20,30,100,0.1,8,0.9,True,0.925, 0,
